Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,897.45,898.25,850.0,854.95,8691369,7547831529.0,236643,"6,07,0396,98,93915,75,72421,36,241",855.15,873.8975,RELIANCE,EQ
2014-01-13,854.6,883.0,840.05,880.4,14914059,12780431410.150002,595865,"27,91,90716,83,48210,85,27813,82,61114,90,091",881.5,857.158,RELIANCE,EQ
2014-01-20,878.5,896.9,866.1,869.75,17101131,15120667847.349998,464820,"17,28,21717,74,30230,65,41223,43,12723,24,348",868.0,884.28,RELIANCE,EQ
2014-01-27,872.65,875.35,840.35,843.15,12872955,11120591579.35,406946,"12,72,79011,83,16123,91,31217,66,56519,05,116",846.75,864.2959999999999,RELIANCE,EQ
2014-02-03,847.0,856.0,819.45,820.9,13101501,10943499889.35,342642,"17,03,65219,59,27021,68,73218,08,90213,56,016",820.5,834.866,RELIANCE,EQ
2014-02-10,814.5,826.65,806.9,821.95,12181533,9962373161.15,349373,"18,39,22813,52,52613,90,10211,12,24915,48,389",821.75,817.808,RELIANCE,EQ
2014-02-17,823.0,825.0,802.75,812.3,11285749,9183162579.4,359785,"16,60,58711,64,16013,07,91713,15,89213,43,471",812.75,813.8280000000001,RELIANCE,EQ
2014-02-24,807.1,820.0,803.1,812.35,7536345,6114762598.099999,246418,"7,28,5397,28,09712,08,8587,74,5639,06,027",812.9,811.662,RELIANCE,EQ
2014-03-03,814.3,816.85,793.1,803.4,11710942,9439355934.15,369028,"10,67,32323,80,97728,99,07616,97,512",804.25,807.1,RELIANCE,EQ
2014-03-10,803.0,903.65,802.6,885.45,22278622,19012993408.9,755459,"13,66,68019,30,19113,34,99554,33,53150,86,232",883.9,836.774,RELIANCE,EQ
2014-03-17,885.0,894.75,867.65,886.15,12794703,11262634325.6,331207,"16,70,90411,95,28325,90,75027,92,514",886.0,879.365,RELIANCE,EQ
2014-03-24,889.5,913.35,882.15,905.4,26744789,24108421022.95,505459,"29,00,61821,01,31037,01,85534,85,9791,15,57135,00,066",906.0,898.8133333333334,RELIANCE,EQ
2014-03-31,879.0,939.8,872.5,930.75,31530321,28384122275.0,424476,"42,58,17216,22,65190,62,93027,63,47027,29,368",937.8,902.124,RELIANCE,EQ
