Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1772.0,11026.0,1682.0,10700.0,5304945,9255623454.61,235539,"83,5475616145275352834,66,5735653,14,0284902462663,81,718505196",10700.0,8854.016842105264,SBIN,EQ
2014-01-13,10800.0,11550.0,1600.0,10701.01,8244717,13596759691.61,441795,"12149304,83,8211431101483,92,7604,85,20852127140107,08,6676330127215,82,1446431",10701.01,8821.174347826087,SBIN,EQ
2014-01-20,10791.31,11660.0,1616.65,10890.0,5175599,8488587032.33,242987,"73,07,8328883163730352354,31,292502501,49,7482026143,53,0172103113302,66,3281550",10890.0,8921.78875,SBIN,EQ
2014-01-27,10870.0,11249.0,1583.05,10899.0,6373418,10429483916.77,276453,"202401663,55,59210532,42,111265111021,59,569121446,40,60330340505,96,51511233",10899.0,8784.85909090909,SBIN,EQ
2014-02-03,11113.0,11149.95,1485.0,11088.63,8419060,13079645331.19,400979,"2684,44,0307531989495,42,7653099321910,46,631-3,94,33114166782504,52,241337",11087.1,8717.339545454546,SBIN,EQ
2014-02-10,10850.0,11150.0,1466.8,1514.1,7605868,11536260620.83,325459,"211133413,62,349-155202,88,20045802735,16,70818327119599,58,96243401683,89,293",1508.1,8915.919583333334,SBIN,EQ
2014-02-17,10670.0,11608.6,1455.1,1473.6,9834484,14697939232.86,433105,"51,88,5745450731248,03,13158833,75,367-11418011312,41,806112431135,27,155",1476.35,8759.998636363636,SBIN,EQ
2014-02-24,10621.0,11123.95,1471.1,10879.0,5384691,8090565809.03,269233,"32273,25,855111382,28,72228012813,16,36213981727516730432,31,9764532601,98,801116170",10879.0,9043.701538461539,SBIN,EQ
2014-03-03,10740.0,11125.0,1499.1,10848.76,7052487,10774438519.2,261778,"212982,18,703247118,12,87433061512994,99,98792134882124,56,916191",10849.0,9049.714761904763,SBIN,EQ
2014-03-10,10750.0,11800.0,1515.0,10835.0,16061283,26082110041.23,528341,"50751373236,04,22333461,000109,48,953348,81,9297111982430724,24,500-8117712662372520,03,8341336",10835.0,9222.17,SBIN,EQ
2014-03-17,1690.0,11119.8,1634.0,9801.0,8922757,14945358243.92,315635,"9,67,4652571365156,07,7402161,3233642163594793114,65,121384746,18,3091641",9801.0,8719.11619047619,SBIN,EQ
2014-03-24,10194.0,10390.0,1655.0,10250.63,9534992,16266166159.62,407411,"54615,00,275623111407,53,190-226,76,8061386707,82,7942140151272827,011317,39,71510573397",10255.0,8052.0556,SBIN,EQ
2014-03-31,1732.8,10324.0,1728.1,1917.7,14491452,26674404439.6,551716,"7,93,605458399801,028389118211,01,2465183431323,51,79315,48,276701,060117453235410,55,314",1916.1,8476.666538461537,SBIN,EQ
