Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1772.0,1806.0,1682.0,1688.15,5302410,9227941396.75,235329,"83,5474,66,5733,14,0283,81,718",1685.0,1740.3475,SBIN,EQ
2014-01-13,1692.9,1702.0,1600.0,1641.25,8243072,13578798164.8,441554,"4,83,8213,92,7604,85,2087,08,6675,82,144",1644.0,1647.986,SBIN,EQ
2014-01-20,1635.0,1658.0,1616.65,1641.85,5173998,8471056363.45,242828,"3,07,8324,31,2921,49,7483,53,0172,66,328",1645.9,1637.026,SBIN,EQ
2014-01-27,1653.9,1672.7,1583.05,1594.5,6371972,10413570370.35,276269,"3,55,5922,42,1111,59,5696,40,6035,96,515",1598.75,1637.862,SBIN,EQ
2014-02-03,1603.05,1628.0,1485.0,1488.35,8417196,13059190927.75,400750,"4,44,0305,42,76510,46,6313,94,3314,52,241",1486.95,1548.7540000000001,SBIN,EQ
2014-02-10,1474.0,1537.9,1466.8,1514.1,7604357,11519631381.7,325227,"3,62,3492,88,2005,16,7089,58,9623,89,293",1508.1,1515.634,SBIN,EQ
2014-02-17,1514.95,1540.0,1455.1,1473.6,9833506,14687151346.25,432884,"1,88,5748,03,1313,75,36712,41,8065,27,155",1476.35,1502.9599999999998,SBIN,EQ
2014-02-24,1477.0,1517.4,1471.1,1510.5,5382489,8066339339.05,269020,"3,25,8552,28,7223,16,3622,31,9761,98,801",1510.0,1498.816,SBIN,EQ
2014-03-03,1517.0,1558.6,1499.1,1518.35,7050382,10751229201.75,261412,"2,18,70318,12,8744,99,9874,56,916",1516.0,1524.165,SBIN,EQ
2014-03-10,1518.0,1711.0,1515.0,1692.15,16056101,26025449849.4,527807,"6,04,2239,48,9538,81,92924,24,50020,03,834",1693.8,1600.7040000000002,SBIN,EQ
2014-03-17,1690.0,1722.1,1634.0,1654.15,8918215,14897071243.1,315104,"9,67,4656,07,74014,65,1216,18,309",1659.05,1666.8799999999999,SBIN,EQ
2014-03-24,1655.0,1739.9,1655.0,1725.6,9532650,16242397531.6,407121,"15,00,2757,53,1906,76,8067,82,79427,0117,39,715",1728.0,1704.2083333333333,SBIN,EQ
2014-03-31,1732.8,1938.8,1728.1,1917.7,14487739,26636832638.4,551437,"7,93,60511,01,24623,51,79315,48,27610,55,314",1916.1,1827.0880000000002,SBIN,EQ
2014-04-07,1928.0,1940.0,1867.5,1922.4,10533116,20056562023.1,480731,"5,22,9146,05,9888,13,4488,90,61011,11,940",1923.1,1904.1200000000001,SBIN,EQ
2014-04-14,1930.05,2040.0,1930.05,1994.15,7632383,15248960910.75,307397,"13,08,09912,69,7008,83,379",1986.35,1997.8666666666668,SBIN,EQ
2014-04-21,1995.0,2078.8,1947.65,2072.1,7662600,15329105585.650002,351767,"5,06,9717,75,9547,84,1387,23,459",2074.5,2000.03,SBIN,EQ
2014-04-28,2074.0,2119.0,2040.2,2106.2,8117442,16828578789.900002,349117,"9,39,78812,81,6409,47,6617,47,832",2115.0,2073.7175,SBIN,EQ
2014-05-05,2119.75,2124.9,2035.0,2044.55,6724842,13962521657.0,313756,"5,85,4108,86,8385,41,7954,96,392",2046.1,2074.1875,SBIN,EQ
2014-05-12,2059.8,2264.8,2040.7,2242.7,10279711,21928278234.7,516764,"3,33,0919,56,4608,23,37511,76,45610,29,255",2249.05,2117.298,SBIN,EQ
2014-05-19,2280.0,2594.8,2260.4,2568.1,19841993,47550712384.1,824412,"12,01,57214,33,44312,16,45136,38,75316,01,324",2575.0,2369.02,SBIN,EQ
2014-05-26,2610.7,2834.9,2452.0,2701.9,20049991,52535145468.2,917063,"10,48,61810,60,3588,56,26514,94,97513,84,485",2691.5,2583.42,SBIN,EQ
2014-06-02,2697.2,2700.0,2526.7,2644.7,12737527,33241361007.85,555883,"5,67,8848,98,50622,05,19810,90,6865,02,070",2647.0,2610.174,SBIN,EQ
2014-06-09,2666.15,2761.5,2621.35,2707.85,11216802,30221550003.55,533819,"10,41,5367,06,8028,78,92311,80,2696,20,332",2706.1,2698.046,SBIN,EQ
2014-06-16,2714.0,2733.75,2547.05,2580.65,9001030,23925837013.45,458754,"6,77,3187,15,9128,29,9556,25,2504,47,283",2579.5,2656.672,SBIN,EQ
2014-06-23,2564.1,2684.3,2553.5,2600.2,10262234,26879996310.15,437287,"8,39,57810,38,6328,15,3595,65,8996,68,679",2598.0,2616.334,SBIN,EQ
2014-06-30,2600.2,2717.55,2600.2,2686.25,8451377,22585766438.5,349482,"6,97,65911,02,4217,46,4342,87,7826,50,252",2683.05,2670.158,SBIN,EQ
2014-07-07,2699.0,2729.0,2660.05,2684.7,6993889,18871073796.2,293388,"3,47,7927,32,7005,56,6635,86,2106,50,128",2681.4,2697.424,SBIN,EQ
2014-07-14,2683.0,2697.0,2366.4,2411.05,11241848,28583517010.5,511769,"7,14,9385,33,3939,53,4897,63,4524,58,106",2415.35,2536.472,SBIN,EQ
2014-07-21,2427.15,2622.9,2427.15,2523.2,8484407,21565031122.95,446361,"5,04,3777,57,2624,63,4392,33,3383,99,013",2519.1,2544.514,SBIN,EQ
2014-07-28,2528.0,2572.95,2475.0,2489.65,6531616,16531655379.050001,321102,"2,44,5383,96,7693,71,2353,75,2953,63,943",2489.95,2530.21,SBIN,EQ
2014-08-04,2491.0,2506.7,2410.0,2461.4,7689375,18874708938.75,382201,"12,44,7718,66,4885,11,1754,59,556",2463.5,2454.42,SBIN,EQ
2014-08-11,2476.55,2484.0,2390.0,2414.45,9179638,22340063867.75,416656,"3,33,1864,01,6182,63,6297,51,2703,22,710",2407.8,2435.3559999999998,SBIN,EQ
2014-08-18,2420.0,2438.9,2350.1,2421.2,6561137,15684880975.65,350501,"3,82,2267,50,1006,65,8516,08,136",2422.1,2392.2425,SBIN,EQ
2014-08-25,2434.2,2577.4,2408.5,2506.15,11323707,28168712937.4,480189,"5,90,6187,39,15612,24,7389,97,67712,21,792",2508.0,2478.95,SBIN,EQ
2014-09-01,2499.85,2535.25,2453.0,2504.35,5840634,14556584003.300001,275483,"4,18,4734,23,0765,86,3267,11,823",2515.0,2492.3725,SBIN,EQ
2014-09-08,2517.15,2572.0,2476.0,2565.9,7944141,19998917511.800003,311924,"7,34,7246,14,3904,16,6346,88,9229,14,171",2568.0,2515.3959999999997,SBIN,EQ
2014-09-15,2567.0,2643.9,2525.6,2623.25,7905824,20451171250.45,363107,"4,45,3009,30,6694,82,8305,63,5486,73,971",2620.5,2585.562,SBIN,EQ
2014-09-22,2629.0,2644.0,2536.95,2601.55,7875900,20410032314.1,336253,"4,56,7825,16,6069,02,1735,75,3174,63,645",2594.0,2589.406,SBIN,EQ
2014-09-29,2609.9,2624.7,2350.05,2449.7,11281853,27854836080.05,481552,"8,67,5268,66,42611,63,6986,47,1543,70,051",2455.2,2477.136,SBIN,EQ
2014-10-06,2436.05,2476.0,2412.2,2423.35,2917693,7130788279.3,117425,"5,13,2772,10,628",2416.95,2441.005,SBIN,EQ
2014-10-13,2404.65,2498.5,2346.05,2485.45,7032284,17154423205.0,312896,"3,84,1343,68,4125,34,1912,75,8982,91,861",2483.0,2437.358,SBIN,EQ
2014-10-20,2504.55,2593.75,2452.4,2569.45,6984715,17675343809.45,301318,"4,02,9076,30,4134,32,0888,88,115",2568.0,2529.3575,SBIN,EQ
2014-10-27,2580.0,2619.9,2565.1,2597.8,4533927,11744759187.6,226403,"5,28,5247,39,7141,14,0565,35,910",2597.8,2588.7225,SBIN,EQ
2014-11-03,2608.0,2743.5,2606.0,2723.45,9443160,25208623902.5,348210,"11,04,7947,71,2416,80,0998,64,4038,25,586",2722.0,2669.538,SBIN,EQ
2014-11-10,2733.0,2799.8,2724.05,2739.5,5683702,15692578715.35,251321,"11,89,5008,52,2304,93,872",2739.2,2757.15,SBIN,EQ
2014-11-17,2747.9,2951.3,2695.0,2940.6,15050901,42132448924.75,610306,"6,13,1306,78,3666,12,13312,61,81718,24,277",2942.0,2774.866,SBIN,EQ
2014-11-24,2956.95,2979.0,291.25,308.85,63103611,33301556100.2,780060,"12,01,4967,50,21369,78,22181,01,32194,73,849",308.0,1359.868,SBIN,EQ
2014-12-01,309.9,326.95,301.0,319.6,99497027,31064657076.7,779827,"1,46,62,45448,16,68283,13,4851,26,29,64280,67,261",319.5,311.524,SBIN,EQ
2014-12-08,318.9,322.9,311.55,312.9,72491158,23055313191.35,646789,"64,50,00257,45,53843,61,49841,65,50442,83,175",313.0,317.868,SBIN,EQ
2014-12-15,312.7,318.55,303.3,310.55,70305908,21930343694.45,657389,"69,96,98564,86,88637,86,52643,96,03370,79,490",309.6,312.024,SBIN,EQ
2014-12-22,308.1,312.6,287.0,307.7,93859844,28452736282.4,896159,"80,79,12295,55,90085,62,60246,95,67952,09,008",308.4,304.15,SBIN,EQ
