Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,677.0,680.0,653.0,657.55,533735,355028163.35,59644,"10,37540,97477,6071,43,594",655.5,666.94,SRTRANSFIN,EQ
2014-01-13,663.0,663.0,598.3,608.75,1996966,1242909512.55,87171,"2,17,1123,87,5005,87,3531,74,2911,33,553",609.15,622.512,SRTRANSFIN,EQ
2014-01-20,601.0,631.0,594.15,610.45,1623127,988077539.8499999,66781,"6,06,0261,46,0352,24,0431,81,58534,619",610.0,610.05,SRTRANSFIN,EQ
2014-01-27,602.0,629.95,600.05,603.45,688695,424330395.15,45604,"58,39437,96438,5331,06,2721,10,360",606.5,617.476,SRTRANSFIN,EQ
2014-02-03,600.0,636.9,595.2,619.6,2021149,1237870437.3,118837,"1,19,6902,79,3365,49,1191,41,7452,47,266",612.85,613.83,SRTRANSFIN,EQ
2014-02-10,614.45,621.5,585.05,590.75,1799256,1088206776.75,101527,"2,44,0454,19,0163,85,7761,13,12568,975",590.0,602.268,SRTRANSFIN,EQ
2014-02-17,596.0,596.0,550.5,554.25,1612705,919387136.45,73747,"83,1362,63,9271,42,8814,91,2901,27,850",557.8,573.746,SRTRANSFIN,EQ
2014-02-24,549.65,593.0,548.7,576.95,2155458,1225441782.8999999,86135,"4,54,2092,50,8086,60,6621,23,20667,921",578.0,570.8059999999999,SRTRANSFIN,EQ
2014-03-03,584.75,602.0,577.2,579.15,2282894,1354038310.8,79647,"1,08,6152,81,6007,29,5866,71,195",578.4,591.9375,SRTRANSFIN,EQ
2014-03-10,584.0,672.0,566.0,664.4,3575187,2214064629.45,162419,"4,90,3601,52,3103,02,17111,25,9013,91,604",664.0,611.6139999999999,SRTRANSFIN,EQ
2014-03-17,665.2,676.0,622.2,629.25,1965062,1270661097.8,103490,"3,23,5923,84,3394,30,1372,52,184",624.95,645.3425,SRTRANSFIN,EQ
2014-03-24,629.95,696.5,623.1,690.1,4171321,2774297180.0,195032,"11,38,5876,20,6112,73,8246,50,9813,5072,37,626",691.95,667.6633333333333,SRTRANSFIN,EQ
2014-03-31,690.0,779.6,682.6,767.5,4987433,3627541738.9,193529,"8,05,1907,20,5936,16,2144,28,6124,81,040",760.05,729.844,SRTRANSFIN,EQ
2014-04-07,764.9,778.75,714.0,740.05,2372238,1761124219.25,89886,"4,32,0923,57,0144,01,42576,3703,17,072",752.0,741.1899999999999,SRTRANSFIN,EQ
2014-04-14,753.9,795.0,742.3,769.6,2131661,1651987389.85,72756,"6,82,6795,04,5972,46,421",766.1,774.5933333333332,SRTRANSFIN,EQ
2014-04-21,766.1,766.1,722.0,761.1,1685913,1245495226.0,73546,"2,09,7504,10,0133,50,9412,12,161",760.1,740.7525,SRTRANSFIN,EQ
2014-04-28,766.0,833.9,758.9,775.35,1561366,1250395569.5,82807,"1,65,9923,23,1081,30,8211,60,684",775.95,796.7925,SRTRANSFIN,EQ
2014-05-05,775.5,788.0,711.25,731.6,1780644,1319015077.3500001,97897,"1,82,1614,97,2441,25,0321,47,139",730.0,742.755,SRTRANSFIN,EQ
2014-05-12,729.95,789.95,697.0,775.65,2914655,2147398223.35,138430,"82,0143,53,9344,61,9084,99,2482,83,826",771.0,736.096,SRTRANSFIN,EQ
2014-05-19,776.55,928.65,761.45,912.35,4137048,3493342141.1499996,274182,"2,80,9913,82,5825,57,8889,18,2035,80,863",907.0,830.992,SRTRANSFIN,EQ
2014-05-26,910.55,958.0,863.0,936.4,4365927,3975543518.65,320558,"4,48,8835,86,8319,23,7657,14,7891,37,373",935.5,908.494,SRTRANSFIN,EQ
2014-06-02,939.0,963.7,883.75,941.4,4668252,4307572524.65,190559,"14,93,2277,45,4743,82,4128,27,20290,292",942.5,925.25,SRTRANSFIN,EQ
2014-06-09,954.0,1020.0,917.1,1007.25,2825990,2717809881.25,158692,"2,49,7304,08,2382,27,4584,96,6862,72,798",1018.0,961.4739999999999,SRTRANSFIN,EQ
2014-06-16,1011.3,1023.0,897.95,910.35,1938738,1878280570.6,150596,"2,73,5372,25,0841,35,9503,04,0072,06,333",911.05,971.0799999999999,SRTRANSFIN,EQ
2014-06-23,909.2,924.95,844.2,849.55,3793725,3346920868.6,160699,"7,43,7284,80,0114,45,2802,29,0508,94,327",849.0,881.374,SRTRANSFIN,EQ
2014-06-30,842.0,911.0,842.0,905.05,4247044,3692568293.8500004,109963,"7,85,2248,38,37510,36,5081,79,1121,59,859",901.0,876.9119999999999,SRTRANSFIN,EQ
2014-07-07,909.9,971.95,900.0,959.5,1984098,1869957034.9,96358,"1,13,6082,54,4093,41,5591,36,9272,93,770",956.05,938.458,SRTRANSFIN,EQ
2014-07-14,950.0,969.85,847.95,878.3,1690010,1537390817.9,79803,"1,88,5772,04,1601,10,2012,17,32139,783",879.0,905.2700000000001,SRTRANSFIN,EQ
2014-07-21,880.2,937.0,871.05,895.5,1634047,1470516140.75,103906,"1,40,9031,95,2741,48,32997,8862,59,541",895.1,900.4380000000001,SRTRANSFIN,EQ
2014-07-28,891.0,916.9,849.25,907.7,2452133,2190999073.65,113216,"74,9911,06,8411,19,3833,21,8227,41,619",907.0,890.092,SRTRANSFIN,EQ
2014-08-04,908.85,923.5,866.35,872.4,3010159,2708688129.6,121168,"11,04,2435,88,6111,79,1244,80,429",873.0,893.9425,SRTRANSFIN,EQ
2014-08-11,883.0,918.0,865.0,894.65,3407746,3050428940.15,93081,"2,71,95313,50,5294,73,9311,33,4783,15,007",895.5,892.3860000000001,SRTRANSFIN,EQ
2014-08-18,899.05,919.4,878.55,886.5,1205500,1078150625.75,78790,"1,55,5092,10,0941,24,8232,16,266",887.65,894.0350000000001,SRTRANSFIN,EQ
