Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,568.25,590.85,568.1,588.25,5012845,2908093165.8999996,133420,"1,89,1857,73,7288,58,41211,08,984",588.3,578.0575,SUNPHARMA,EQ
2014-01-13,593.0,617.7,589.2,602.35,11400888,6881308529.7,455199,"21,27,69614,43,30613,02,62318,41,4369,93,432",602.25,603.986,SUNPHARMA,EQ
2014-01-20,600.0,610.95,586.0,589.4,7413315,4441536028.3,240005,"22,15,76211,23,7645,60,2438,91,7266,23,524",589.0,598.0139999999999,SUNPHARMA,EQ
2014-01-27,594.0,614.7,576.65,597.8,12268265,7341169261.75,342303,"9,66,23623,02,91920,63,3138,73,58118,73,816",596.95,597.772,SUNPHARMA,EQ
2014-02-03,597.5,604.9,580.05,594.3,9017118,5336332858.0,248301,"13,23,68715,34,3967,36,65910,29,16711,05,841",592.0,591.388,SUNPHARMA,EQ
2014-02-10,594.35,614.7,581.5,611.65,10621240,6315539872.4,304902,"13,66,82315,81,20012,07,50622,94,7878,82,160",611.15,594.798,SUNPHARMA,EQ
2014-02-17,616.95,626.5,601.1,605.1,11460051,7046415017.6,295154,"16,13,22511,09,13513,54,42614,51,4065,08,439",605.0,613.488,SUNPHARMA,EQ
2014-02-24,605.0,628.8,604.0,620.6,6977914,4318256637.9,253266,"5,08,90512,43,6225,53,14710,26,1677,15,175",620.0,617.992,SUNPHARMA,EQ
2014-03-03,622.5,653.35,616.2,625.1,7901568,5008317347.8,257878,"8,02,64211,07,32821,68,94710,50,944",624.9,631.6525,SUNPHARMA,EQ
2014-03-10,625.15,630.0,592.9,597.0,9168872,5628759807.35,304529,"8,72,9036,63,9659,33,37216,12,50517,16,659",593.1,616.664,SUNPHARMA,EQ
2014-03-17,596.0,610.85,552.55,582.05,21278686,12333197227.449999,542703,"25,61,90913,45,15948,50,30643,87,391",580.0,583.25,SUNPHARMA,EQ
2014-03-24,585.0,595.9,571.45,579.3,11396058,6654764386.5,353255,"15,57,83111,44,56914,09,84725,52,89827,86616,29,630",581.0,584.19,SUNPHARMA,EQ
2014-03-31,581.0,585.9,556.0,574.75,13554781,7700306033.05,369221,"11,77,68120,24,97930,32,01813,38,02917,58,014",575.1,569.568,SUNPHARMA,EQ
2014-04-07,575.0,594.8,570.1,588.1,19941814,11574387252.5,421333,"7,41,48627,08,17716,35,64913,91,65750,22,057",586.95,577.74,SUNPHARMA,EQ
2014-04-14,597.0,643.0,593.0,628.15,24157550,15057382676.15,481558,"45,69,10524,94,45326,77,840",627.2,624.42,SUNPHARMA,EQ
2014-04-21,632.0,633.9,612.1,621.25,7894536,4898074538.8,201751,"14,59,2049,95,96212,72,1557,43,445",620.0,620.5275,SUNPHARMA,EQ
2014-04-28,616.7,638.8,616.5,636.65,8185280,5136688655.35,245193,"7,06,99418,55,9218,50,58312,41,578",636.85,626.25,SUNPHARMA,EQ
2014-05-05,639.0,643.95,622.3,626.6,7967165,5051890644.8,196294,"20,61,48812,18,9059,62,8418,97,663",626.15,632.775,SUNPHARMA,EQ
2014-05-12,627.0,637.5,610.1,613.35,8596769,5366025642.65,217220,"4,95,78411,57,21014,33,04410,67,18116,54,175",615.0,624.76,SUNPHARMA,EQ
2014-05-19,618.3,634.55,574.75,584.25,13024514,7936323106.2,334180,"14,88,3518,47,29618,73,66517,17,67025,86,386",584.6,611.696,SUNPHARMA,EQ
2014-05-26,582.0,607.0,572.0,591.1,14499617,8480456761.85,373267,"21,28,72822,09,28813,69,13215,41,06821,72,525",593.0,583.972,SUNPHARMA,EQ
