Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,160.85,162.65,153.65,156.8,7429825,1174236490.95,76069,"9,32,7598,97,6207,78,1715,56,781",157.15,157.915,TATAGLOBAL,EQ
2014-01-13,157.0,159.95,151.9,152.9,9969263,1562167486.2,116651,"3,79,58410,27,8928,01,73310,87,88210,54,871",153.55,156.71800000000002,TATAGLOBAL,EQ
2014-01-20,153.05,154.5,145.8,148.3,9869881,1477345203.65,109045,"12,44,6394,68,83711,87,4589,40,47214,20,494",148.35,149.882,TATAGLOBAL,EQ
2014-01-27,148.5,152.2,140.3,141.35,11584663,1710266658.2,85341,"10,72,61521,13,9124,83,7589,22,9787,69,122",141.25,146.948,TATAGLOBAL,EQ
2014-02-03,140.9,144.75,138.4,140.7,14362688,2032108034.95,117283,"12,34,66910,25,92023,85,08513,52,1118,94,479",140.5,141.426,TATAGLOBAL,EQ
2014-02-10,141.2,144.85,138.5,143.6,10655841,1518912264.8,76984,"16,86,7166,58,48718,23,7379,47,6478,60,250",143.5,142.86599999999999,TATAGLOBAL,EQ
2014-02-17,144.2,145.9,137.7,138.9,6481387,923423221.3,93174,"5,74,9038,42,1548,20,9204,64,8735,09,339",138.9,142.18599999999998,TATAGLOBAL,EQ
2014-02-24,139.1,143.0,138.35,142.7,4778116,674409695.5,55601,"5,81,5423,55,5372,53,4284,95,4252,63,610",142.9,141.256,TATAGLOBAL,EQ
2014-03-03,143.2,143.55,135.25,135.95,7735876,1079448575.15,88596,"5,05,96911,77,18010,90,94718,27,884",135.75,140.07999999999998,TATAGLOBAL,EQ
2014-03-10,136.8,145.1,135.9,143.8,13361072,1892686785.4,151564,"10,90,62411,28,11917,02,23214,14,04311,00,350",143.4,141.762,TATAGLOBAL,EQ
2014-03-17,143.8,147.5,141.0,142.7,6698632,969033113.0999999,57296,"9,75,1467,65,9895,03,9214,85,068",142.4,144.4025,TATAGLOBAL,EQ
2014-03-24,142.7,146.0,140.7,142.85,8624250,1234466487.1,67536,"3,11,51113,91,0668,69,13910,36,95656,3816,17,421",142.8,143.145,TATAGLOBAL,EQ
2014-03-31,142.55,152.7,141.3,150.05,14182021,2066673332.5,97286,"6,53,7758,63,90922,66,74320,37,82213,96,633",150.05,144.886,TATAGLOBAL,EQ
2014-04-07,151.45,155.65,148.25,151.45,13253360,2017478438.25,101697,"20,07,9859,48,97610,93,4488,66,1454,93,956",151.25,152.03799999999998,TATAGLOBAL,EQ
2014-04-14,152.75,155.95,151.75,152.75,6989980,1075476045.4,48221,"13,58,8757,86,8869,25,594",152.25,153.70666666666668,TATAGLOBAL,EQ
2014-04-21,153.85,160.0,150.0,156.15,10196513,1582420626.8,67873,"5,61,6944,18,67724,44,67211,37,104",156.5,154.45499999999998,TATAGLOBAL,EQ
2014-04-28,156.95,159.4,151.75,152.85,8840360,1379536131.65,80306,"10,94,23919,26,7237,11,0116,82,405",153.05,155.51749999999998,TATAGLOBAL,EQ
2014-05-05,153.0,154.1,146.4,146.7,6021113,903950079.5999999,54650,"6,38,65613,60,9764,41,7315,03,036",146.7,149.845,TATAGLOBAL,EQ
2014-05-12,147.05,148.3,142.1,144.55,6695978,970090356.6,61451,"7,29,4644,67,7286,09,8315,47,37510,72,649",144.65,144.934,TATAGLOBAL,EQ
2014-05-19,145.5,151.6,143.25,150.7,15041269,2208630056.65,126632,"10,91,35210,04,44812,11,46720,43,62324,08,736",150.6,146.664,TATAGLOBAL,EQ
2014-05-26,152.95,163.0,151.05,156.45,17781299,2784407514.9,117050,"12,42,4799,83,24214,41,18012,96,02521,48,230",156.45,156.002,TATAGLOBAL,EQ
2014-06-02,157.3,158.2,145.35,147.5,16056742,2409502897.55,116530,"7,20,9276,98,08427,27,90121,99,26220,74,747",147.5,151.426,TATAGLOBAL,EQ
2014-06-09,148.0,176.8,147.75,171.2,36173067,5901477326.5,239400,"12,59,44726,61,9648,85,91159,83,50631,01,501",171.3,158.696,TATAGLOBAL,EQ
2014-06-16,171.65,177.15,161.15,166.0,33898539,5763521309.2,259640,"37,19,36726,81,89713,59,98117,59,76315,69,752",166.6,168.996,TATAGLOBAL,EQ
2014-06-23,166.0,171.2,161.3,167.95,20052586,3334300705.95,153082,"11,00,94510,23,96011,02,8968,89,51729,28,434",167.65,165.276,TATAGLOBAL,EQ
2014-06-30,167.45,175.0,165.5,172.75,25346605,4308908353.349999,140704,"14,87,97816,29,20922,57,99518,71,73030,05,010",172.5,169.78400000000002,TATAGLOBAL,EQ
2014-07-07,173.35,176.8,166.0,167.05,20951332,3597259412.8,144472,"22,22,04018,46,23423,17,27419,58,9196,63,475",167.0,171.26799999999997,TATAGLOBAL,EQ
2014-07-14,167.65,167.65,148.5,151.8,15754922,2452383293.8,112087,"13,17,27212,06,8967,33,99412,41,6669,42,934",152.3,155.378,TATAGLOBAL,EQ
2014-07-21,152.35,163.0,151.5,159.2,13427428,2127282476.4,100857,"7,28,9919,09,5365,28,34916,37,3937,38,428",159.05,157.798,TATAGLOBAL,EQ
2014-07-28,159.5,161.4,152.05,155.2,14542929,2272319816.1,98933,"8,04,26615,41,82716,41,41816,06,58312,24,404",154.6,156.3,TATAGLOBAL,EQ
2014-08-04,155.95,156.85,151.75,155.5,10952286,1687468360.25,56631,"15,99,01625,11,90211,18,7924,85,529",155.9,154.22,TATAGLOBAL,EQ
2014-08-11,154.1,156.5,149.55,151.9,8841517,1354685349.3,54461,"6,62,8895,98,6395,57,45511,73,0366,23,264",151.9,153.28,TATAGLOBAL,EQ
2014-08-18,151.5,155.35,150.3,154.4,5236333,799833136.85,43644,"6,04,7818,15,3655,57,9694,93,424",154.2,152.79749999999999,TATAGLOBAL,EQ
2014-08-25,155.35,160.4,154.9,155.45,9538557,1500432794.15,75314,"7,38,11215,02,6344,14,0515,58,6714,94,860",155.5,157.072,TATAGLOBAL,EQ
2014-09-01,154.4,155.5,150.0,153.9,6642050,1012131096.0,46596,"3,44,4784,30,56218,48,5427,40,689",153.75,152.8675,TATAGLOBAL,EQ
2014-09-08,153.0,166.5,153.0,164.6,17237406,2762793661.75,121452,"6,84,3758,90,94121,30,08712,89,19510,65,144",164.35,159.33599999999998,TATAGLOBAL,EQ
2014-09-15,165.1,171.35,160.5,167.2,17225374,2875509096.25,110710,"5,80,4756,65,62618,49,62914,70,6119,28,846",166.7,166.34,TATAGLOBAL,EQ
2014-09-22,167.05,172.9,156.9,170.6,19399340,3218526632.2,142630,"16,67,57510,21,3478,26,79717,50,33316,69,609",169.5,164.866,TATAGLOBAL,EQ
2014-09-29,170.2,171.8,154.45,159.0,13300447,2161227858.95,83746,"6,73,2013,81,5079,44,8208,90,0208,79,996",159.0,162.37600000000003,TATAGLOBAL,EQ
2014-10-06,159.1,162.4,157.6,158.85,3116036,498388007.55,26038,"5,45,3262,72,562",158.7,159.925,TATAGLOBAL,EQ
2014-10-13,158.25,163.9,157.05,157.5,12672244,2033726674.45,114212,"9,63,2774,38,64416,00,40619,69,2177,98,279",157.4,160.198,TATAGLOBAL,EQ
2014-10-20,158.4,159.3,150.8,154.7,10242060,1582807543.0500002,87148,"7,00,94610,29,71425,76,16011,69,357",155.0,154.9975,TATAGLOBAL,EQ
2014-10-27,154.1,159.25,153.4,156.3,6141585,959578459.8000001,63198,"15,08,76210,91,7353,25,7293,95,643",156.45,156.81,TATAGLOBAL,EQ
2014-11-03,156.75,164.2,156.05,163.75,14286248,2276447250.65,101225,"4,65,1214,53,38231,86,45828,81,61111,37,040",163.3,158.93800000000002,TATAGLOBAL,EQ
