Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,425.0,435.5,404.6,408.3,11082058,4644746535.05,163242,"3,41,3718,12,55410,28,2435,12,120",407.7,419.245,TATASTEEL,EQ
2014-01-13,409.9,411.9,381.75,385.95,18443473,7243452211.2,318694,"10,57,57012,82,9838,60,2967,56,9265,72,748",387.2,392.11800000000005,TATASTEEL,EQ
2014-01-20,385.0,389.0,370.1,374.55,17319405,6552127491.2,263100,"9,96,04011,05,2267,58,70110,56,7009,71,223",374.95,378.206,TATASTEEL,EQ
2014-01-27,376.0,394.0,352.0,353.55,18617239,7058241715.2,271427,"11,98,62411,33,2475,32,0438,97,25515,95,692",353.7,379.88800000000003,TATASTEEL,EQ
2014-02-03,354.0,369.35,341.2,343.1,23763014,8423307368.2,425879,"12,36,76618,95,55322,13,27123,88,28311,75,599",342.15,354.406,TATASTEEL,EQ
2014-02-10,338.05,393.2,336.05,382.5,36464502,13344978595.7,511133,"36,53,83510,57,20221,39,20042,99,44011,51,170",382.55,364.07,TATASTEEL,EQ
2014-02-17,387.0,393.0,359.45,374.05,28974905,10880570076.4,396163,"8,35,52524,52,6198,36,50910,76,2874,42,845",375.3,375.584,TATASTEEL,EQ
2014-02-24,373.95,381.9,364.0,369.2,17509028,6512315414.85,283656,"7,53,8597,82,9669,62,6607,94,70311,29,358",369.3,372.148,TATASTEEL,EQ
2014-03-03,369.6,372.05,340.7,345.3,30068846,10551055935.25,419027,"15,17,50650,55,37137,27,46915,77,371",344.0,352.28000000000003,TATASTEEL,EQ
2014-03-10,346.5,373.4,345.35,364.15,29324096,10576401145.650002,416749,"16,06,75323,87,41815,76,77323,08,23513,41,263",363.1,360.756,TATASTEEL,EQ
2014-03-17,364.15,364.4,332.0,341.7,29613830,10191300557.05,430803,"37,98,93721,84,46518,11,07914,55,157",342.7,343.57,TATASTEEL,EQ
2014-03-24,346.0,367.0,339.1,363.1,33195800,11799765105.05,477342,"12,51,68427,24,4747,76,15624,02,9491,81,02511,34,278",364.0,355.83,TATASTEEL,EQ
