Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,2180.1,2244.0,2147.25,2239.6,3593442,7906490793.15,235219,"1,05,3545,50,4316,60,5196,85,611",2234.8,2190.3475,TCS,EQ
2014-01-13,2240.0,2384.0,2199.0,2368.75,7606681,17271099997.5,439351,"8,91,2468,85,1349,51,8069,19,52012,05,443",2380.0,2263.946,TCS,EQ
2014-01-20,2372.0,2384.8,2206.05,2338.2,11298547,25978167656.4,540999,"9,23,5109,46,5277,80,15917,95,47314,66,375",2334.9,2316.3940000000002,TCS,EQ
2014-01-27,2334.0,2339.25,2220.1,2229.6,6095144,13827339213.45,317264,"6,48,2106,78,0306,30,0854,39,0137,46,905",2237.0,2266.91,TCS,EQ
2014-02-03,2232.0,2269.8,2190.0,2194.45,5156109,11449566962.25,306351,"10,07,3455,37,8797,11,0296,30,2684,73,787",2192.7,2219.554,TCS,EQ
2014-02-10,2174.0,2200.0,2085.1,2093.55,6240325,13364845636.35,400787,"8,03,0654,45,5055,59,3645,69,00814,59,488",2092.55,2149.556,TCS,EQ
2014-02-17,2100.0,2186.0,2095.0,2165.4,6158970,13115106609.8,309015,"11,77,75911,42,7696,11,9324,70,6774,61,048",2164.7,2135.768,TCS,EQ
2014-02-24,2165.0,2222.0,2155.85,2177.9,4178021,9145280381.35,203292,"4,17,3892,58,5453,60,5885,78,5909,59,555",2177.95,2189.452,TCS,EQ
2014-03-03,2189.0,2299.0,2160.15,2240.05,6379678,14140289733.849998,275005,"13,57,23713,95,74612,23,8244,01,949",2232.15,2221.1525,TCS,EQ
2014-03-10,2233.2,2286.25,2135.0,2142.65,7087570,15652426764.0,489718,"7,09,5796,27,9924,16,38615,71,81013,03,557",2145.0,2220.3540000000003,TCS,EQ
2014-03-17,2155.0,2202.0,2122.0,2139.55,4200586,9068502074.35,281860,"6,82,0734,58,3865,25,6017,57,794",2138.0,2160.3275,TCS,EQ
2014-03-24,2135.5,2157.95,2011.4,2152.6,12000376,24984063515.0,667079,"8,51,29729,91,83414,14,31013,01,93520,0955,54,003",2149.95,2105.685,TCS,EQ
2014-03-31,2144.0,2172.0,2065.05,2133.15,8054612,16976273134.25,431007,"6,54,40910,41,36816,19,7868,58,8248,67,522",2139.0,2112.496,TCS,EQ
2014-04-07,2145.0,2202.0,2120.7,2153.8,6194892,13419723777.349998,436719,"8,74,65713,79,8433,81,2384,44,0998,44,896",2159.75,2163.558,TCS,EQ
2014-04-14,2152.0,2174.9,2100.0,2164.1,3922064,8352977721.799999,230102,"11,97,1027,07,5695,68,591",2161.5,2130.116666666667,TCS,EQ
