Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1845.0,1845.9,1793.35,1815.85,1226521,2239990359.75,56891,"72,7211,47,88166,9601,72,430",1813.95,1827.2350000000001,TECHM,EQ
2014-01-13,1816.55,1905.0,1786.0,1884.5,3668996,6805861576.700001,238249,"2,66,8364,15,0232,97,0526,39,1583,81,371",1885.6,1847.8560000000002,TECHM,EQ
2014-01-20,1888.85,1906.1,1752.8,1828.7,3829376,7073862477.4,290990,"3,91,8224,69,4943,96,0974,40,7933,38,975",1830.0,1850.5259999999998,TECHM,EQ
2014-01-27,1830.65,1856.0,1757.5,1760.25,2829196,5124998627.8,148594,"2,17,9101,29,3774,05,8622,13,1235,08,354",1759.0,1816.944,TECHM,EQ
2014-02-03,1761.0,1811.0,1703.6,1763.1,3883794,6818822532.45,204313,"2,79,9634,69,8325,03,4425,21,7186,57,750",1767.05,1752.8799999999999,TECHM,EQ
2014-02-10,1747.95,1870.0,1696.4,1832.15,5794416,10551561655.5,253006,"2,53,47712,96,3263,87,1294,20,1343,67,952",1835.0,1816.8419999999999,TECHM,EQ
2014-02-17,1823.5,1883.9,1806.25,1823.75,3755504,6941270035.85,224854,"6,74,2194,94,4685,31,6474,27,1541,78,194",1823.2,1845.7540000000001,TECHM,EQ
2014-02-24,1829.0,1859.95,1815.4,1831.45,2280751,4186806372.6,197676,"1,97,1862,94,1982,06,2742,23,5163,59,266",1835.4,1835.3439999999998,TECHM,EQ
2014-03-03,1835.25,1921.0,1813.35,1906.45,6653240,12426956070.25,277216,"2,13,3226,04,69733,65,0175,64,424",1907.0,1860.3225,TECHM,EQ
2014-03-10,1903.5,1936.9,1791.1,1799.6,4328958,8101485663.7,314026,"2,80,1302,57,9115,37,8888,10,7105,72,961",1799.0,1878.382,TECHM,EQ
2014-03-17,1808.6,1828.75,1756.8,1785.25,2908186,5225742190.8,203410,"3,96,5754,92,3133,41,8933,32,296",1780.1,1796.61,TECHM,EQ
2014-03-24,1783.2,1849.9,1731.0,1844.3,4577959,8264993491.55,242850,"4,01,7094,94,0725,29,5126,33,67114,8994,60,921",1843.05,1807.1616666666666,TECHM,EQ
2014-03-31,1837.15,1875.7,1786.95,1795.35,5483355,10003843957.1,248288,"2,32,3194,21,25117,35,7028,02,1265,05,964",1793.45,1822.3439999999998,TECHM,EQ
2014-04-07,1806.0,1844.0,1787.0,1793.0,3397318,6173290486.55,274575,"8,17,6364,18,1853,16,2992,94,2413,26,416",1791.0,1815.312,TECHM,EQ
2014-04-14,1796.0,1807.0,1676.35,1739.55,5419009,9325570111.8,303103,"12,57,81210,99,39115,79,258",1736.9,1722.7766666666666,TECHM,EQ
2014-04-21,1745.0,1793.3,1733.2,1774.0,3271454,5762495091.0,204083,"8,32,8644,82,2963,17,5383,26,374",1767.55,1764.9875,TECHM,EQ
2014-04-28,1771.0,1838.8,1749.0,1825.25,2692666,4817976149.65,173376,"3,93,3535,05,9453,97,8564,27,346",1824.7,1789.7025,TECHM,EQ
2014-05-05,1827.0,1859.0,1807.7,1820.0,2186782,4025998563.2,163875,"5,20,6804,10,9252,07,8322,86,128",1812.3,1840.1825,TECHM,EQ
2014-05-12,1810.2,1822.0,1726.65,1794.4,2682280,4749686235.35,159280,"2,66,3494,40,1553,15,1752,37,1214,47,729",1792.05,1772.0520000000001,TECHM,EQ
2014-05-19,1800.0,1873.1,1730.65,1738.75,10042944,18068327675.7,299085,"3,65,6233,07,3246,81,98616,09,67427,23,581",1748.0,1815.104,TECHM,EQ
2014-05-26,1740.0,1828.5,1730.0,1805.4,3868157,6844437947.8,277425,"5,54,7277,91,7224,08,8366,40,3813,26,745",1809.25,1771.3880000000001,TECHM,EQ
2014-06-02,1790.2,1939.0,1790.2,1895.9,5580169,10521255752.05,242684,"6,66,2975,42,2658,15,6899,51,8902,84,837",1884.0,1886.3,TECHM,EQ
2014-06-09,1892.0,1989.15,1868.1,1955.75,4279114,8161979072.2,202270,"4,57,63710,25,8583,94,3042,59,7705,51,860",1949.65,1908.664,TECHM,EQ
2014-06-16,1968.0,2048.2,1961.2,2022.65,4404811,8881986107.05,262613,"7,74,7726,35,4185,13,5033,06,0864,53,136",2020.6,2017.3380000000002,TECHM,EQ
2014-06-23,2030.0,2049.65,1988.85,2002.55,1882451,3808504809.1,158630,"2,18,2601,63,1852,98,4101,94,4211,69,756",2000.45,2020.8259999999998,TECHM,EQ
2014-06-30,2006.0,2161.7,1987.15,2152.0,4625720,9647021243.45,197422,"1,47,9165,29,6415,96,2906,56,7659,65,786",2150.35,2058.422,TECHM,EQ
2014-07-07,2150.0,2166.4,2088.4,2137.3,3699900,7890866326.3,165139,"8,89,9794,21,1263,97,9421,53,7974,00,129",2132.0,2125.994,TECHM,EQ
2014-07-14,2158.5,2158.5,2000.0,2038.6,2699301,5557690497.95,195771,"4,50,8452,63,3585,38,8322,52,4251,47,300",2039.7,2057.892,TECHM,EQ
2014-07-21,2039.0,2139.0,2039.0,2109.15,1662124,3480994042.6,100275,"1,51,3372,56,0442,07,4212,12,7941,71,677",2114.95,2094.3540000000003,TECHM,EQ
2014-07-28,2120.0,2198.5,2102.1,2191.05,2004714,4332667577.05,116810,"1,45,5703,11,8872,52,3031,93,5262,52,072",2182.9,2159.186,TECHM,EQ
2014-08-04,2178.0,2188.4,2030.15,2167.1,5465319,11661334885.4,227470,"3,46,70116,89,82011,22,7584,65,697",2170.0,2141.7525,TECHM,EQ
