Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,230.0,235.95,224.0,227.8,3425510,788373090.75,42373,"1,96,9334,96,5173,14,1891,50,006",227.35,229.5975,TITAN,EQ
2014-01-13,230.0,230.9,214.1,221.1,4956522,1108375335.25,61049,"2,32,7693,56,6523,38,7722,75,8805,12,972",220.95,223.914,TITAN,EQ
2014-01-20,221.25,222.4,215.0,216.5,3272620,714718336.85,49148,"1,13,2004,64,9662,19,2852,27,5301,16,332",216.4,218.468,TITAN,EQ
2014-01-27,217.0,227.9,212.35,215.85,6974829,1542613414.1999998,78697,"1,98,6432,60,1809,21,0625,99,8843,09,194",216.35,219.552,TITAN,EQ
2014-02-03,216.5,227.5,202.45,219.95,10099282,2199921188.7999997,112231,"1,59,1694,90,41013,37,7133,19,1095,79,466",219.7,218.564,TITAN,EQ
2014-02-10,218.7,233.75,217.1,230.95,5398691,1218760172.85,68183,"3,23,1261,50,1893,17,0603,08,4016,16,217",230.6,224.628,TITAN,EQ
2014-02-17,231.25,236.3,225.15,228.95,6032502,1396812641.0500002,75450,"5,65,8852,52,1991,62,1922,10,5684,73,996",229.0,231.23000000000002,TITAN,EQ
2014-02-24,231.0,237.8,225.95,235.7,4639826,1082197349.55,60405,"1,73,2314,52,4323,34,6811,71,7253,31,097",237.35,232.99200000000002,TITAN,EQ
2014-03-03,237.35,251.5,236.5,249.25,6629547,1621422623.4,87904,"9,82,0253,96,0782,15,5004,45,718",249.0,244.52,TITAN,EQ
2014-03-10,250.5,258.5,243.15,250.55,8465502,2127476999.55,105438,"9,44,2113,27,5092,11,0677,55,1666,67,466",250.1,250.512,TITAN,EQ
2014-03-17,252.25,258.5,247.0,253.15,4865949,1231568036.55,57582,"5,13,9852,79,3695,54,0812,39,516",254.0,252.6525,TITAN,EQ
2014-03-24,254.95,262.45,251.15,252.9,5924361,1517035219.95,72002,"5,15,6401,27,5705,85,6373,41,22816,9601,60,089",252.55,255.55666666666664,TITAN,EQ
2014-03-31,253.05,268.35,246.1,262.7,5396852,1387036873.3000002,66937,"3,32,1703,31,6345,65,8752,06,9696,82,297",262.4,255.07,TITAN,EQ
2014-04-07,266.45,274.3,260.1,262.75,4702805,1255526859.6,56050,"3,00,8431,01,9575,03,1622,19,0443,98,848",262.9,266.43,TITAN,EQ
2014-04-14,263.1,267.9,261.5,262.75,1941872,512741976.5,24065,"4,30,6392,83,1581,51,202",262.4,264.01,TITAN,EQ
2014-04-21,260.35,265.3,254.05,259.45,2460038,636734753.0,31881,"2,06,4202,83,2542,31,5513,05,498",259.75,258.69,TITAN,EQ
2014-04-28,259.35,266.5,251.5,258.3,5999223,1549645803.8999999,51776,"1,57,55721,62,9031,90,5731,02,155",258.25,258.685,TITAN,EQ
2014-05-05,258.45,263.0,252.8,262.1,2307901,597739151.3,31354,"1,37,6951,98,6381,21,4853,14,183",262.3,258.91999999999996,TITAN,EQ
2014-05-12,263.95,287.5,257.7,285.05,11877361,3258834872.4,132885,"6,10,5529,08,0914,25,3904,29,6165,42,203",287.0,275.724,TITAN,EQ
2014-05-19,286.2,344.75,286.2,307.3,11928863,3702703395.3,146233,"5,86,4585,70,48815,71,80010,01,3036,05,503",306.6,308.6,TITAN,EQ
2014-05-26,311.9,353.1,307.0,321.25,13358014,4386604225.650001,161461,"9,38,0244,64,42612,95,7309,20,9794,68,050",320.0,323.192,TITAN,EQ
2014-06-02,322.9,325.0,307.1,315.15,4165927,1316274113.95,49553,"1,66,2552,80,9684,74,6082,97,1663,13,826",318.2,315.916,TITAN,EQ
2014-06-09,316.0,332.5,314.1,326.6,6681897,2165298368.75,79338,"5,81,5065,26,9754,04,0004,55,9178,40,666",326.15,323.99399999999997,TITAN,EQ
2014-06-16,325.3,347.0,302.75,322.6,9410633,3126500416.45,124649,"8,74,8639,67,2132,32,2503,14,3224,76,431",322.35,329.1,TITAN,EQ
2014-06-23,319.5,338.8,311.85,326.05,7967408,2599637037.85,98574,"6,09,5344,64,1242,56,75310,88,1367,05,472",326.0,324.40999999999997,TITAN,EQ
2014-06-30,324.5,360.8,324.5,353.05,11005851,3810072999.05,120949,"4,66,3987,14,50319,18,1357,34,3213,97,868",352.45,346.12,TITAN,EQ
2014-07-07,352.9,362.7,351.0,357.4,4112903,1472195740.35,56738,"2,49,9643,96,6353,17,2401,39,5982,23,471",358.0,357.798,TITAN,EQ
2014-07-14,360.1,362.1,318.1,322.0,6485232,2196070324.7,89395,"2,70,6752,90,5994,38,2412,53,7022,24,510",323.3,338.242,TITAN,EQ
2014-07-21,320.75,338.5,320.75,330.95,3867321,1273330562.6,51014,"3,65,5751,36,8962,84,2522,32,6591,92,423",331.0,329.364,TITAN,EQ
2014-07-28,330.35,342.85,329.4,334.5,3489965,1172302066.4,42020,"2,60,5632,61,5832,53,5711,59,0862,13,420",336.4,335.518,TITAN,EQ
2014-08-04,334.5,345.15,321.0,342.2,4077018,1373189407.6,56061,"3,85,4421,88,9753,35,0614,23,737",342.55,337.85,TITAN,EQ
2014-08-11,342.3,350.5,337.55,341.75,3079431,1059393530.2,38363,"1,31,0861,84,0322,83,0822,03,89287,302",341.5,343.942,TITAN,EQ
2014-08-18,342.1,353.7,341.0,350.35,2527217,879834821.05,31655,"3,66,7671,59,7071,14,1811,35,002",351.0,347.96,TITAN,EQ
2014-08-25,352.0,370.4,345.1,361.7,6619254,2401695816.35,86699,"2,34,95898,0288,58,0192,59,0152,00,936",361.95,357.922,TITAN,EQ
2014-09-01,358.1,374.9,356.8,371.9,2958944,1082726861.05,39525,"1,08,0311,90,5922,09,4703,13,332",373.0,364.9175,TITAN,EQ
2014-09-08,372.7,393.5,371.05,385.8,4953515,1902008330.3,63812,"3,52,5412,25,3642,36,1741,22,49677,524",385.5,384.68999999999994,TITAN,EQ
2014-09-15,386.4,397.95,376.05,381.95,5177813,2010999717.9,67707,"2,07,2715,87,8892,07,9233,10,4621,41,929",381.45,387.688,TITAN,EQ
2014-09-22,381.1,402.65,363.25,396.95,4684455,1806245138.8,79680,"2,05,9942,09,7672,21,4141,68,1373,87,854",397.05,383.274,TITAN,EQ
