Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1258.0,1265.0,1165.65,1174.25,107485,130510514.55000001,8986,"13,65911,2169,4686,745",1166.25,1210.99,TRENT,EQ
2014-01-13,1177.0,1214.0,1109.55,1163.45,157712,182612265.05,16875,"7,1915,3427,16416,00925,725",1149.9,1162.158,TRENT,EQ
2014-01-20,1150.0,1165.0,1104.55,1116.85,61084,69192226.75,5989,"16,4377,1491,6894,2133,486",1114.0,1131.818,TRENT,EQ
2014-01-27,1122.45,1135.15,1050.2,1054.1,29195,31892176.45,3684,"1,8444,2363,0112,5142,119",1053.0,1090.35,TRENT,EQ
2014-02-03,1059.0,1100.0,1055.0,1070.6,23400,25187729.85,2674,"2,0542,5734,9542,9711,274",1071.95,1075.836,TRENT,EQ
2014-02-10,1060.0,1079.9,1032.25,1037.95,14873,15675169.8,2217,"1,7421,6982,3461,629523",1032.35,1051.84,TRENT,EQ
2014-02-17,1034.9,1057.9,1011.5,1020.0,67752,69665129.25,3086,"1,8081,30742,7754,1331,862",1019.0,1034.524,TRENT,EQ
2014-02-24,1019.0,1034.95,1004.95,1008.45,16833,17131468.95,2213,"3,6861,6749272,3341,741",1005.9,1017.982,TRENT,EQ
2014-03-03,1013.45,1029.3,992.0,995.6,32560,32738596.150000002,2398,"1,7521,3653,05518,172",998.0,1005.365,TRENT,EQ
2014-03-10,1018.0,1045.0,990.0,1018.55,62028,62948403.35,6190,"3,7524,0418,5135,67216,138",1018.95,1008.4200000000001,TRENT,EQ
2014-03-17,1045.0,1064.8,998.0,1003.5,87029,89684601.44999999,5501,"33,2344,7063,11420,101",1003.25,1023.0975,TRENT,EQ
2014-03-24,993.8,1095.0,985.6,1047.65,204292,213629440.14999998,21771,"18,3516,7852,02410,77426,37747,914",1048.0,1021.11,TRENT,EQ
2014-03-31,1040.0,1053.0,1000.0,1028.25,1261195,1290181068.95,13677,"16,47815,74611,11,52214,86439,997",1018.0,1026.3200000000002,TRENT,EQ
2014-04-07,1030.0,1036.0,1002.0,1007.55,45726,46626771.65,5476,"4,9909,3615,9853,8447,122",1008.05,1019.1600000000001,TRENT,EQ
2014-04-14,1002.05,1021.0,990.0,992.05,41451,41611514.849999994,3458,"11,04612,2897,214",991.6,1003.19,TRENT,EQ
2014-04-21,988.1,1016.75,984.0,998.35,219467,217688259.3,5141,"1,39,32110,10215,61725,427",999.95,999.3,TRENT,EQ
2014-04-28,1002.65,1008.9,981.0,984.95,51679,51602314.75,6289,"4,80913,90012,7525,605",985.0,996.7049999999999,TRENT,EQ
2014-05-05,984.95,995.0,957.65,970.9,60076,58580083.05,3844,"10,91328,7823,1692,584",974.5,976.7950000000001,TRENT,EQ
2014-05-12,975.05,1000.0,951.0,986.4,67239,65611533.25,3822,"1,5315,5347,72019,64020,779",995.0,970.086,TRENT,EQ
2014-05-19,1009.0,1009.0,950.0,979.95,144693,141485200.9,6175,"29,0047,3528,82435,75033,073",980.0,975.574,TRENT,EQ
2014-05-26,985.0,1029.0,970.0,1005.7,107092,106766945.1,6633,"20,1816,86824,6705,75121,692",1011.75,993.79,TRENT,EQ
2014-06-02,997.75,1084.9,982.0,1066.25,305584,313190038.2,13869,"3,77924,34836,1751,17,59321,437",1055.0,1026.776,TRENT,EQ
2014-06-09,1068.0,1227.3,1035.0,1204.05,218473,244950718.5,17906,"7,9079,39150,48918,07525,660",1200.0,1103.984,TRENT,EQ
2014-06-16,1200.0,1275.0,1151.9,1165.15,325554,385719536.95,13457,"9,8535,26817,50318,3032,03,695",1164.0,1192.84,TRENT,EQ
2014-06-23,1170.0,1208.0,1144.0,1159.0,123141,144636854.29999998,6841,"14,19759,76622,0494,3404,185",1154.0,1174.3,TRENT,EQ
2014-06-30,1150.0,1310.0,1150.0,1253.9,247793,311662248.0,11882,"9,1347,7794,71942,21572,794",1250.25,1224.1,TRENT,EQ
2014-07-07,1245.0,1305.0,1231.6,1259.15,70074,88130596.8,6815,"13,97711,7205,2734,3655,260",1266.0,1256.958,TRENT,EQ
2014-07-14,1265.0,1265.0,1156.7,1200.3,109144,132375566.45,11851,"8,19311,15911,6989,53933,622",1185.25,1214.492,TRENT,EQ
2014-07-21,1200.0,1272.0,1176.0,1261.85,159669,194233141.6,6925,"65,67322,1943,26745,2285,137",1264.0,1225.884,TRENT,EQ
