Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,377.55,378.8,360.0,366.95,14716120,5416699265.200001,206345,"4,21,02316,69,99621,90,86829,06,695",367.25,370.1825,TATAMOTORS,EQ
2014-01-13,367.0,379.45,363.75,376.15,22644923,8384099329.0,386364,"22,52,37036,37,53822,79,39416,37,81638,02,361",375.5,369.466,TATAMOTORS,EQ
2014-01-20,375.1,379.0,366.8,374.9,23898987,8889867305.0,256761,"16,89,27831,31,86853,70,83531,98,23418,64,996",374.4,372.27200000000005,TATAMOTORS,EQ
2014-01-27,375.0,389.0,345.55,348.25,27787196,10357706754.2,386525,"25,77,47635,80,66619,56,91518,88,48652,48,794",348.35,376.004,TATAMOTORS,EQ
2014-02-03,345.5,367.5,335.6,336.4,31251394,10993033636.85,347007,"32,98,29512,56,04640,26,98234,41,24326,71,835",337.0,351.556,TATAMOTORS,EQ
2014-02-10,332.1,367.4,332.1,364.05,40620503,14313455805.7,458390,"57,64,12143,15,35641,09,11525,28,27723,59,246",363.8,354.274,TATAMOTORS,EQ
2014-02-17,381.05,395.45,370.65,386.6,45375772,17263073701.1,526765,"68,55,91135,91,95629,99,92728,46,67031,46,201",386.6,381.302,TATAMOTORS,EQ
2014-02-24,387.95,400.85,385.3,396.55,28103921,11047439833.45,512627,"28,05,89018,64,94137,01,43938,62,21925,10,797",396.55,393.0,TATAMOTORS,EQ
2014-03-03,399.0,418.2,393.55,410.7,29428452,12006066160.449999,438800,"14,43,43140,02,93674,98,93441,83,571",409.25,405.2675,TATAMOTORS,EQ
2014-03-10,411.25,420.7,393.45,396.0,26991202,10993767733.2,392000,"20,77,14616,78,91427,94,10425,40,16828,50,169",395.35,407.538,TATAMOTORS,EQ
2014-03-17,393.0,404.5,383.0,393.25,17593657,6932783616.3,261392,"25,81,89826,33,05118,64,41112,64,758",393.6,393.1825,TATAMOTORS,EQ
2014-03-24,394.0,397.35,378.75,391.5,26314854,10154164311.05,470852,"43,22,68036,61,35221,81,75533,11,65887,04816,73,932",390.7,386.63166666666666,TATAMOTORS,EQ
2014-03-31,392.0,404.95,386.65,398.65,27889107,11102892913.05,388402,"22,33,43641,14,56363,76,07615,28,74718,61,426",398.5,397.546,TATAMOTORS,EQ
2014-04-07,405.15,418.0,399.5,404.0,22235245,9084505096.5,308459,"18,98,59634,40,42030,14,70715,53,09620,88,172",405.2,407.76599999999996,TATAMOTORS,EQ
2014-04-14,408.0,437.8,407.5,423.6,19288819,8199545280.549999,264954,"39,78,88729,41,82330,70,781",423.0,425.4166666666667,TATAMOTORS,EQ
2014-04-21,425.6,434.55,409.05,432.1,18044051,7564867088.25,252897,"35,29,23915,95,06917,72,7299,73,720",432.0,420.61,TATAMOTORS,EQ
2014-04-28,430.9,434.7,415.0,416.45,15508066,6595094661.349999,212453,"9,92,84529,51,85722,54,09220,67,978",416.55,425.3975,TATAMOTORS,EQ
2014-05-05,416.05,420.3,404.2,414.45,13231006,5471577199.0,182894,"10,54,33131,47,32812,70,7679,05,592",414.5,413.4375,TATAMOTORS,EQ
2014-05-12,414.9,446.5,414.5,445.2,20469861,8730347617.25,370118,"10,23,04121,90,07015,75,81826,85,08933,56,760",443.8,424.37399999999997,TATAMOTORS,EQ
2014-05-19,447.25,465.0,434.05,444.4,27919363,12545619248.45,450941,"33,42,90014,20,44027,45,56453,13,79538,28,794",444.9,447.23,TATAMOTORS,EQ
2014-05-26,446.05,453.75,425.0,444.05,35502289,15571806631.4,485397,"39,31,39332,91,47351,35,76044,53,55446,09,283",443.65,438.43,TATAMOTORS,EQ
2014-06-02,447.35,451.35,407.05,420.75,37497981,15930199254.599998,438247,"29,48,06357,34,88945,53,62266,81,25434,83,763",420.3,425.994,TATAMOTORS,EQ
2014-06-09,417.35,453.4,416.25,448.6,39292565,16952061591.0,539778,"57,48,94736,29,15442,93,66741,31,09227,86,169",447.75,431.788,TATAMOTORS,EQ
2014-06-16,450.3,455.4,429.05,430.85,26547966,11790827525.45,400847,"28,30,69322,47,75221,15,77528,62,25527,08,589",429.6,443.726,TATAMOTORS,EQ
2014-06-23,434.1,445.0,427.15,435.6,23004045,10056077861.699999,515376,"24,27,83612,26,09629,55,12327,97,20019,53,920",434.05,436.98,TATAMOTORS,EQ
2014-06-30,434.1,448.85,429.05,431.3,18242731,8023339420.35,344278,"18,94,03919,69,29119,15,96812,72,32619,71,805",430.6,439.03999999999996,TATAMOTORS,EQ
2014-07-07,432.8,479.95,432.8,478.85,34388597,15894713488.7,477551,"24,65,00319,01,61440,28,51336,78,67531,58,903",478.9,461.988,TATAMOTORS,EQ
2014-07-14,479.5,484.7,442.6,456.0,22157289,10235193214.5,342660,"33,07,92815,36,15318,00,8899,01,02715,89,316",457.55,459.026,TATAMOTORS,EQ
2014-07-21,458.25,478.45,456.7,474.95,18414702,8648523198.5,354126,"18,10,03917,28,66927,48,66121,64,6089,02,277",475.5,469.61400000000003,TATAMOTORS,EQ
2014-07-28,474.95,488.2,451.3,453.85,26778020,12635245228.05,420602,"17,90,23326,71,17716,96,94939,55,26452,88,854",454.35,474.97799999999995,TATAMOTORS,EQ
2014-08-04,455.0,455.75,438.0,446.6,39050005,17483761397.45,452518,"1,10,20,35269,79,47254,89,02150,70,383",446.55,447.61,TATAMOTORS,EQ
2014-08-11,449.7,457.9,430.4,446.55,28680439,12722931310.2,482038,"18,24,93324,06,69025,44,38542,56,17549,62,062",447.2,444.46000000000004,TATAMOTORS,EQ
2014-08-18,481.0,505.65,466.1,503.8,35875861,17259487089.1,443949,"48,83,46527,16,22331,93,89243,09,605",505.05,481.8625,TATAMOTORS,EQ
2014-08-25,507.5,522.0,505.35,508.4,28995812,14897530078.75,431419,"49,79,42026,47,46229,78,40922,72,77523,48,421",507.45,513.868,TATAMOTORS,EQ
2014-09-01,498.5,531.65,496.35,520.0,20331011,10559674175.4,311392,"16,92,40013,54,71129,05,95441,67,274",520.7,518.9725,TATAMOTORS,EQ
2014-09-08,520.0,530.5,502.9,510.1,38893652,19963595818.25,413289,"26,04,66845,72,26056,43,10965,72,37771,32,831",510.2,514.058,TATAMOTORS,EQ
2014-09-15,511.1,520.95,507.6,512.4,27794786,14325851004.35,347746,"61,23,80050,47,58420,77,37730,70,49418,41,642",512.65,515.156,TATAMOTORS,EQ
2014-09-22,510.0,542.5,491.4,540.05,30753901,15904735050.8,451709,"35,19,47927,39,26940,55,27530,43,69634,99,972",539.35,515.592,TATAMOTORS,EQ
2014-09-29,541.7,542.6,492.35,510.75,29899248,15343501174.4,355101,"40,76,62014,71,26740,01,45239,30,89432,24,723",510.25,512.7760000000001,TATAMOTORS,EQ
2014-10-06,514.7,514.7,499.25,502.75,9205176,4670533011.3,114867,"29,89,77520,18,927",506.15,506.87,TATAMOTORS,EQ
2014-10-13,502.75,522.5,480.05,496.25,25638734,12899990540.099998,425487,"25,87,49320,96,95320,60,04037,28,18817,74,612",496.1,504.70200000000006,TATAMOTORS,EQ
2014-10-20,498.9,501.1,468.0,494.65,25690042,12487813535.3,386845,"15,73,86430,09,70053,06,90329,28,766",493.2,487.91499999999996,TATAMOTORS,EQ
2014-10-27,499.05,520.5,493.75,503.7,13397294,6818474158.2,207967,"13,52,73529,00,1261,53,83616,83,869",503.3,509.66749999999996,TATAMOTORS,EQ
2014-11-03,505.7,538.5,503.05,531.4,19621459,10302953580.45,285379,"10,25,17619,22,68833,65,45715,13,20610,56,499",530.8,524.0360000000001,TATAMOTORS,EQ
2014-11-10,529.0,543.95,518.75,522.3,12323039,6562287323.9,156652,"39,53,56511,78,98719,56,273",523.35,531.9433333333333,TATAMOTORS,EQ
2014-11-17,525.0,547.55,517.1,545.25,20623899,10986243917.900002,404170,"13,01,36317,74,85513,75,44825,02,16428,94,154",545.15,530.528,TATAMOTORS,EQ
2014-11-24,548.65,550.7,520.3,526.4,20646829,10998335938.85,332527,"26,15,90125,89,63022,59,55123,28,41123,89,009",528.0,532.28,TATAMOTORS,EQ
2014-12-01,528.55,539.85,511.5,536.0,27812441,14603331081.85,409898,"23,05,47728,46,90433,03,56151,54,99731,55,169",535.05,524.4359999999999,TATAMOTORS,EQ
2014-12-08,535.7,538.8,513.7,515.7,16698929,8812409497.7,260120,"19,62,17718,73,20617,92,28110,64,12516,53,982",515.6,527.368,TATAMOTORS,EQ
2014-12-15,517.25,520.85,492.35,493.95,22805206,11501042068.5,385132,"32,62,51422,47,67216,67,74919,39,36318,72,695",496.5,503.738,TATAMOTORS,EQ
2014-12-22,490.0,497.8,468.65,494.7,23113729,11190380287.05,429562,"26,08,72838,80,51024,83,54125,73,72519,62,805",496.0,485.082,TATAMOTORS,EQ
2014-12-29,496.8,501.45,478.95,495.05,15665537,7655912648.25,201489,"25,78,97636,26,2188,24,61213,76,782",495.5,489.0125,TATAMOTORS,EQ
2015-01-05,499.0,526.0,490.25,523.8,16637219,8456939257.25,240514,"7,04,36210,56,6673,03,44320,98,18136,96,954",524.1,502.96000000000004,TATAMOTORS,EQ
2015-01-12,514.35,524.95,489.2,522.3,29050379,14686752840.85,557766,"47,36,93455,15,54930,26,12714,90,9028,87,960",520.95,509.31399999999996,TATAMOTORS,EQ
2015-01-19,520.35,539.6,513.95,538.5,25891740,13625857721.0,560302,"23,40,84135,81,11645,08,48023,54,30726,43,623",536.95,526.15,TATAMOTORS,EQ
2015-01-26,538.75,591.15,534.75,588.45,26156461,14712961653.1,410225,"36,61,47036,34,08429,33,53437,41,521",586.1,561.3375,TATAMOTORS,EQ
2015-02-02,596.05,607.7,580.6,592.5,29612402,17575902153.95,560487,"43,58,01855,81,45134,59,55822,41,65124,69,607",592.25,592.712,TATAMOTORS,EQ
2015-02-09,597.65,612.4,541.3,542.65,32843970,18938558357.55,474975,"22,69,02015,37,92926,81,73260,38,55525,35,079",542.8,579.908,TATAMOTORS,EQ
2015-02-16,544.0,580.45,543.35,574.15,24778084,13941281101.45,426728,"23,11,99428,50,58033,93,20817,88,96433,85,742",574.0,562.3399999999999,TATAMOTORS,EQ
2015-02-23,572.7,592.55,560.65,574.2,16929518,9802583672.3,254259,"27,81,15419,71,28116,72,93116,16,233",575.5,578.9425,TATAMOTORS,EQ
2015-03-02,577.0,601.0,557.35,585.0,24205861,13887639230.35,547546,"25,95,14614,21,81221,32,09324,98,81712,40,00119,70,829",584.15,573.1116666666667,TATAMOTORS,EQ
2015-03-09,582.5,592.1,562.0,565.1,16578735,9536968981.35,296054,"19,04,98030,45,43816,43,99418,81,814",563.1,573.8275,TATAMOTORS,EQ
2015-03-16,567.9,572.7,548.2,556.9,18503728,10367092471.8,330919,"23,34,10914,46,51818,24,52533,18,71815,69,358",558.1,560.072,TATAMOTORS,EQ
2015-03-23,564.0,579.0,541.0,551.45,21305696,11912382212.65,408016,"25,96,98427,49,37619,66,72930,13,48716,34,524",552.0,558.696,TATAMOTORS,EQ
2015-03-30,551.8,552.5,518.15,540.0,28121022,15069549938.2,457008,"24,68,53658,30,38537,50,17525,66,51323,47,989",540.2,535.688,TATAMOTORS,EQ
2015-04-06,540.15,573.5,537.6,568.15,15258195,8531514390.6,340324,"28,21,00024,51,42133,84,350",566.5,558.77,TATAMOTORS,EQ
2015-04-13,569.05,570.7,552.25,556.25,15717040,8807287289.7,328420,"16,82,09421,05,00413,88,36311,50,16915,02,212",556.15,560.14,TATAMOTORS,EQ
2015-04-20,551.25,551.25,521.05,533.2,15886241,8556630854.5,436607,"22,90,13119,70,79113,80,45826,02,955",536.1,539.1925,TATAMOTORS,EQ
