Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1769.0,1777.9,1705.1,1724.3,277612,482642416.54999995,21026,"20,28946,63950,04243,195",1723.05,1739.7275,ULTRACEMCO,EQ
2014-01-13,1729.0,1734.65,1643.65,1669.55,918345,1546446687.55,53464,"60,11243,4193,04,3732,04,2631,27,175",1669.5,1687.06,ULTRACEMCO,EQ
2014-01-20,1660.5,1756.0,1634.0,1718.95,963180,1651129141.9,71363,"57,37782,0951,07,2872,36,7301,41,080",1718.75,1703.8439999999998,ULTRACEMCO,EQ
2014-01-27,1720.0,1732.0,1662.05,1700.05,1257146,2129427185.35,43380,"1,87,0746,12,20919,4841,06,1341,08,429",1700.0,1698.306,ULTRACEMCO,EQ
2014-02-03,1693.0,1736.95,1662.5,1690.05,572225,969889183.85,44590,"34,58649,2091,42,56859,84644,732",1683.7,1697.7040000000002,ULTRACEMCO,EQ
2014-02-10,1678.0,1750.25,1650.3,1724.85,948235,1595554679.95,42522,"44,1025,31,67199,45330,57424,907",1723.8,1697.264,ULTRACEMCO,EQ
2014-02-17,1731.3,1731.3,1651.1,1667.5,319892,540380300.1,30165,"24,16748,51361,50133,6318,384",1662.25,1686.9,ULTRACEMCO,EQ
2014-02-24,1675.0,1845.0,1673.65,1838.15,673126,1181720473.2,47152,"54,48047,02265,7351,45,65076,811",1840.0,1737.2900000000002,ULTRACEMCO,EQ
2014-03-03,1838.0,1879.0,1818.25,1826.75,640616,1181272827.8,62805,"94,4961,22,1401,74,91423,402",1828.0,1842.5325,ULTRACEMCO,EQ
2014-03-10,1829.25,2009.0,1823.55,1989.75,835474,1615073969.15,70904,"1,02,3481,19,45171,7101,08,0721,11,072",1990.0,1931.238,ULTRACEMCO,EQ
2014-03-17,1990.0,2019.9,1935.6,1969.95,592884,1174100630.05,53227,"1,00,82750,45674,8431,12,163",1969.95,1978.7125,ULTRACEMCO,EQ
2014-03-24,1979.95,1987.75,1931.0,1973.1,919263,1808782832.55,66155,"96,26594,85776,6971,99,1247732,71,889",1972.0,1964.6783333333333,ULTRACEMCO,EQ
2014-03-31,1976.5,2195.0,1962.3,2186.95,1614891,3339029618.5499997,103428,"3,46,8861,38,0092,61,2552,25,1292,23,191",2185.85,2065.936,ULTRACEMCO,EQ
2014-04-07,2186.0,2238.8,2106.35,2225.55,713989,1545891226.5,63973,"44,0151,16,88390,33062,48999,139",2217.0,2162.036,ULTRACEMCO,EQ
2014-04-14,2227.0,2280.0,2205.05,2259.25,405064,906724549.0,41165,"94,07878,42259,622",2259.0,2240.26,ULTRACEMCO,EQ
2014-04-21,2260.0,2260.0,2182.45,2219.25,608434,1346729560.5,44418,"71,7621,34,9201,62,36268,390",2218.0,2214.88,ULTRACEMCO,EQ
2014-04-28,2222.6,2229.9,2043.0,2050.75,1116356,2383478421.3,103028,"1,18,1112,17,1812,39,6741,81,455",2050.0,2139.4750000000004,ULTRACEMCO,EQ
2014-05-05,2076.0,2113.9,2003.4,2030.8,640623,1315018854.95,60203,"1,19,15381,44754,6721,11,914",2031.1,2048.66,ULTRACEMCO,EQ
2014-05-12,2034.0,2185.0,1950.5,2159.15,1728502,3516887466.25,88445,"1,12,2853,37,6321,22,1555,92,2821,53,737",2152.0,2033.06,ULTRACEMCO,EQ
