Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,564.0,564.8,546.15,558.0,4321734,2404340522.65,115974,"1,64,2635,04,2215,23,48711,95,728",557.0,555.4175,WIPRO,EQ
2014-01-13,558.0,568.0,531.6,561.45,8496151,4682948472.4,237255,"7,66,7676,31,76610,75,16814,45,10111,24,031",562.5,550.696,WIPRO,EQ
2014-01-20,562.55,577.7,549.3,573.05,11710310,6602840114.25,299075,"9,59,3537,98,0088,57,58912,10,66222,63,318",574.0,561.4019999999999,WIPRO,EQ
2014-01-27,574.75,587.0,565.0,570.55,10451508,6011701789.85,252470,"14,18,06513,08,16212,96,27011,87,46611,63,142",569.05,575.15,WIPRO,EQ
2014-02-03,568.8,579.65,561.65,565.95,6415169,3660148627.3,164575,"6,63,9806,81,89611,59,3005,38,3418,32,951",563.1,570.786,WIPRO,EQ
2014-02-10,561.7,573.85,544.0,563.2,8788026,4934673941.7,194468,"14,45,52410,42,74618,99,9458,65,2888,30,998",561.1,561.9100000000001,WIPRO,EQ
2014-02-17,566.0,571.4,549.8,561.0,5923270,3323476613.65,136804,"8,32,8898,42,2536,61,1206,57,5134,65,053",563.2,560.79,WIPRO,EQ
2014-02-24,559.25,581.95,554.45,577.65,5159457,2929769718.45,155098,"4,91,1924,24,6575,64,6198,50,0735,69,758",578.65,567.13,WIPRO,EQ
2014-03-03,580.0,611.0,580.0,585.9,7146413,4268036165.65,195688,"8,17,61114,96,02511,40,7144,99,898",585.0,595.3475,WIPRO,EQ
2014-03-10,586.0,596.0,555.1,557.25,8382886,4842523763.7,196206,"9,54,96711,51,1599,19,10210,40,20713,20,968",557.0,579.8140000000001,WIPRO,EQ
2014-03-17,557.0,574.8,544.6,547.6,7212436,4037975289.0,157446,"11,63,6947,04,05010,40,58315,06,321",547.55,560.8199999999999,WIPRO,EQ
2014-03-24,550.0,577.5,528.7,562.8,10215221,5676055569.9,228492,"10,83,13810,63,4048,70,06819,00,47922,9216,18,138",563.05,557.2333333333332,WIPRO,EQ
2014-03-31,557.35,559.95,538.5,543.2,9652433,5302999656.9,287812,"17,84,3958,58,05712,79,2207,46,49616,33,597",545.0,550.2280000000001,WIPRO,EQ
2014-04-07,547.0,572.5,546.95,556.9,6774245,3799524219.85,195300,"10,03,14411,29,7015,12,8495,61,4497,11,320",557.0,560.68,WIPRO,EQ
2014-04-14,559.0,570.8,549.5,568.1,4656033,2599582942.45,132436,"8,85,0777,95,5297,28,084",567.55,558.1933333333333,WIPRO,EQ
2014-04-21,565.05,594.7,544.05,546.2,11942626,6794786086.2,251579,"10,57,49510,19,7508,02,52730,92,906",545.0,575.61,WIPRO,EQ
2014-04-28,549.0,554.9,517.0,529.6,15016486,7942501886.0,336862,"23,97,11020,39,80316,90,32118,10,420",530.5,528.135,WIPRO,EQ
2014-05-05,531.0,536.5,517.6,520.75,8588524,4515945098.1,209177,"10,70,27616,52,65511,64,97211,91,038",520.0,525.655,WIPRO,EQ
2014-05-12,519.0,525.0,500.0,511.95,10972925,5586083474.15,289342,"7,26,70422,82,7756,43,0777,76,97319,85,928",515.05,510.988,WIPRO,EQ
2014-05-19,515.0,531.95,474.7,482.05,13220990,6695620685.049999,359894,"9,08,0047,71,7657,92,94428,66,83018,66,829",481.2,511.688,WIPRO,EQ
2014-05-26,486.0,509.9,480.45,506.0,12969385,6386193176.85,427378,"17,21,73713,96,18916,51,84117,40,33715,36,596",509.05,492.27,WIPRO,EQ
2014-06-02,511.7,518.65,485.0,499.1,10153098,5127494527.55,235304,"9,86,87813,01,93518,41,76615,98,0297,99,955",500.05,504.976,WIPRO,EQ
2014-06-09,503.9,516.1,485.2,511.75,9503248,4754662440.45,329847,"13,81,03810,91,01513,29,74914,37,1959,36,561",513.0,500.366,WIPRO,EQ
2014-06-16,511.8,538.0,511.8,536.1,11675040,6177754965.85,327215,"17,57,89711,97,26911,63,3238,68,42311,42,131",536.2,529.778,WIPRO,EQ
2014-06-23,539.0,543.3,527.85,531.4,7065803,3782699387.6,190294,"9,59,9567,94,56410,62,5085,87,5545,82,548",531.9,534.994,WIPRO,EQ
2014-06-30,534.0,553.0,526.0,546.4,8435674,4537278034.349999,253266,"6,55,6227,64,17618,42,2999,28,1598,76,311",545.0,537.458,WIPRO,EQ
2014-07-07,547.9,559.55,536.0,557.6,8358327,4584438778.45,289567,"10,13,22010,96,89814,85,9795,55,16913,08,437",558.1,547.892,WIPRO,EQ
2014-07-14,558.0,558.85,537.0,538.8,6874053,3766632377.4,238863,"7,57,5985,24,6189,42,7939,41,9899,83,641",540.0,547.928,WIPRO,EQ
2014-07-21,538.15,555.0,532.75,544.95,9035648,4924643794.6,203140,"5,76,1915,24,27312,52,46523,22,02515,48,992",545.35,541.8779999999999,WIPRO,EQ
